"TOT_REG_CD","travel_time_Car","travel_time_Public Transit"
"31013560030413",8,28
"31013710010101",12,42
"31013550010209",9,34
"31013550010211",10,36
"31013550010201",6,27
"31013550010212",11,37
"31013560010104",7,20
"31013560030404",6,29
"31013560010103",3,13
"31013670020319",5,25
"31013670020310",5,21
"31013540010103",7,30
"31013530010013",6,24
"31013530010003",6,30
"31013530010007",6,24
"31013530010022",5,22
"31013530010012",7,24
"31013540010104",7,30
"31013540020021",6,30
"31013670010301",6,25
"31013530010016",5,21
"31013540020008",7,30
"31013530010006",7,33
"31013530010021",6,24
"31013530010011",7,24
"31013540020011",6,24
"31013540020028",5,30
"31013530010001",7,28
"31013530010019",6,20
"31013540010201",9,32
"31013530010009",6,30
"31013530010002",6,31
"31013540020001",6,25
"31013530010015",6,29
"31013530010020",7,33
"31013540010202",9,32
"31013540010203",8,31
"31013540020025",6,27
"31013530010010",6,23
"31013540020024",6,29
"31013540020014",6,30
"31013540020022",6,25
"31013530010014",7,33
"31013530010018",6,24
"31013530010008",7,27
"31013530010004",6,32
"31013540020006",6,30
"31013540020004",6,29
"31013540020023",6,29
"31013530010005",6,24
"31013530010017",7,32
"31013530010023",6,27
"31013540010001",7,37
"31013540010101",6,29
"31013540010102",8,31
"31013670010304",6,21
"31013540020013",6,25
"31013540020003",6,28
"31013540020026",7,29
"31013540020016",6,28
"31013540020015",7,31
"31013540020005",6,28
"31013540020030",6,30
"31013540020020",5,28
"31013540020010",6,26
"31013540020017",5,30
"31013540020027",7,29
"31013540020018",5,27
"31013540020007",6,30
"31013540020012",6,28
"31013540020002",6,24
"31013540020029",6,29
"31013540020019",6,27
"31013540020009",6,22
"31013540020101",6,29
"31013540020201",5,29
"31013550010001",7,31
"31013550020405",5,20
"31013560020603",6,23
"31013550010002",6,27
"31013550010210",7,30
"31013550010205",6,28
"31013550010206",10,36
"31013550010213",5,27
"31013550010203",6,27
"31013550010204",8,32
"31013550010202",6,29
"31013550010207",6,24
"31013550010208",9,34
"31013550010301",5,28
"31013550010401",4,21
"31013550020004",7,30
"31013560020202",3,12
"31013550020003",6,29
"31013550020006",5,17
"31013550020008",4,28
"31013560021001",5,22
"31013550020005",5,15
"31013550020007",5,22
"31013560020402",4,16
"31013560030405",6,25
"31013550020002",6,20
"31013550020001",6,19
"31013550020101",5,22
"31013550020201",5,17
"31013560030409",5,25
"31013550020301",5,30
"31013550020302",5,28
"31013550020401",7,29
"31013560020401",4,17
"31013550020403",5,22
"31013550020404",7,28
"31013550020402",6,30
"31013550020501",5,18
"31013560010002",4,17
"31013560010101",4,16
"31013560010102",7,20
"31013560010105",5,17
"31013560010202",3,15
"31013560010203",4,14
"31013560020503",4,13
"31013560020502",5,14
"31013560020501",4,15
"31013560020005",5,19
"31013560020003",5,22
"31013560020004",5,18
"31013560020002",4,17
"31013560020001",4,17
"31013560020101",6,21
"31013560020201",6,21
"31013560020203",3,12
"31013670010312",7,26
"31013560020604",6,22
"31013560020602",6,21
"31013560020601",5,23
"31013560020701",6,23
"31013560020801",5,19
"31013560020901",5,18
"31013560020902",5,18
"31013560030005",5,20
"31013560030001",5,29
"31013560030019",4,20
"31013560030009",4,20
"31013560030013",3,19
"31013560030020",5,17
"31013560030004",5,20
"31013560030018",4,22
"31013560030012",4,12
"31013560030008",6,24
"31013560030011",5,20
"31013560030023",4,22
"31013670010311",7,21
"31013560030007",4,21
"31013560030003",4,18
"31013560030010",4,12
"31013560030017",5,26
"31013560030022",4,19
"31013560030002",5,14
"31013560030016",5,21
"31013560030006",5,21
