"TOT_REG_CD","accessible_restaurants_car","min_time_car","mean_time_car","accessible_restaurants_pt","min_time_pt","mean_time_pt"
"31013560030413",47,2,3.93617021276596,17,5,10.9411764705882
"31013710010101",28,3,4.03571428571429,2,12,13
"31013550010209",2,4,4,2,13,13
"31013550010211",0,NA,NA,0,NA,NA
"31013550010201",92,1,3.89130434782609,6,6,11
"31013550010212",0,NA,NA,0,NA,NA
"31013560010104",3,5,5,15,11,12.6
"31013560030404",124,1,3.85483870967742,23,2,10.7826086956522
"31013560010103",170,1,3.23529411764706,39,5,11.4871794871795
"31013670020319",113,2,3.84070796460177,23,10,12.7826086956522
"31013670020310",136,1,3.63235294117647,21,6,10.952380952381
"31013540010103",86,1,3.67441860465116,29,3,11.1724137931034
"31013530010013",132,1,3.81060606060606,3,9,12
"31013530010003",132,1,3.83333333333333,22,6,12.0454545454545
"31013530010007",134,1,3.8134328358209,3,6,10.6666666666667
"31013530010022",165,1,3.58787878787879,6,7,12.3333333333333
"31013530010012",80,2,3.9,2,7,9.5
"31013540010104",139,0,3.76978417266187,36,1,11.2222222222222
"31013540020021",134,0,3.63432835820896,10,4,9.7
"31013670010301",135,1,3.71111111111111,12,4,9.91666666666667
"31013530010016",167,1,3.50299401197605,20,7,12.3
"31013540020008",125,0,3.68,24,5,11.75
"31013530010006",141,1,3.59574468085106,16,9,11.1875
"31013530010021",156,1,3.57692307692308,3,6,10.6666666666667
"31013530010011",58,2,3.75862068965517,1,11,11
"31013540020011",175,0,3.62285714285714,12,0,10.1666666666667
"31013540020028",155,0,3.61290322580645,21,1,9.33333333333333
"31013530010001",95,2,3.75789473684211,8,10,13
"31013530010019",121,2,3.61157024793388,18,10,12.6666666666667
"31013540010201",13,3,3.92307692307692,3,8,10.6666666666667
"31013530010009",155,1,3.74193548387097,20,5,11.8
"31013530010002",174,0,3.55747126436782,24,5,10.4583333333333
"31013540020001",161,1,3.58385093167702,9,5,9.11111111111111
"31013530010015",152,1,3.80921052631579,6,10,13.3333333333333
"31013530010020",76,2,3.69736842105263,9,12,14
"31013540010202",12,3,3.83333333333333,4,8,11
"31013540010203",40,2,4,8,6,11.875
"31013540020025",132,0,3.65909090909091,19,1,9.10526315789474
"31013530010010",116,1,3.81896551724138,7,5,12.4285714285714
"31013540020024",182,0,3.65384615384615,11,3,10.1818181818182
"31013540020014",120,0,3.66666666666667,21,1,9.14285714285714
"31013540020022",151,0,3.58278145695364,9,3,8.66666666666667
"31013530010014",56,2,3.625,2,13,14
"31013530010018",140,1,3.78571428571429,5,11,12.8
"31013530010008",95,1,3.76842105263158,3,9,12.6666666666667
"31013530010004",135,1,3.8,14,9,12.5714285714286
"31013540020006",129,0,3.68217054263566,21,5,10.8095238095238
"31013540020004",141,1,3.64539007092199,8,6,7.875
"31013540020023",121,0,3.73553719008264,28,2,10.5714285714286
"31013530010005",76,3,3.93421052631579,14,10,12.6428571428571
"31013530010017",143,1,3.60839160839161,17,9,11.4705882352941
"31013530010023",136,2,3.75735294117647,6,11,13.1666666666667
"31013540010001",49,2,4.04081632653061,2,14,14.5
"31013540010101",136,0,3.56617647058824,32,2,10.46875
"31013540010102",49,1,3.97959183673469,24,5,12.6666666666667
"31013670010304",152,0,3.25,17,3,11.2352941176471
"31013540020013",153,0,3.69281045751634,18,3,11.4444444444444
"31013540020003",158,0,3.5253164556962,15,5,11.3333333333333
"31013540020026",100,1,3.83,15,9,12.2
"31013540020016",137,0,3.68613138686131,19,4,10.5263157894737
"31013540020015",98,1,3.86734693877551,26,6,12.0384615384615
"31013540020005",143,1,3.55944055944056,16,3,11.25
"31013540020030",115,0,3.74782608695652,20,2,9.8
"31013540020020",156,0,3.57692307692308,24,0,8.66666666666667
"31013540020010",128,0,3.75,19,3,10.4736842105263
"31013540020017",170,1,3.51764705882353,17,4,10.7647058823529
"31013540020027",132,1,3.65909090909091,21,7,12.6190476190476
"31013540020018",143,0,3.51048951048951,29,0,9.06896551724138
"31013540020007",133,0,3.69924812030075,18,4,10.8333333333333
"31013540020012",149,0,3.56375838926175,13,5,9.92307692307692
"31013540020002",172,0,3.5406976744186,16,2,11.5
"31013540020029",115,0,3.65217391304348,26,2,10.1153846153846
"31013540020019",138,1,3.70289855072464,15,5,10.2666666666667
"31013540020009",193,0,3.43523316062176,11,1,10.3636363636364
"31013540020101",107,0,3.85981308411215,21,4,9.23809523809524
"31013540020201",140,1,3.65,23,4,10.0434782608696
"31013550010001",34,2,3.64705882352941,16,6,11.9375
"31013550020405",107,1,3.73831775700935,23,3,9.1304347826087
"31013560020603",80,2,3.9875,4,10,11.75
"31013550010002",148,1,3.79054054054054,18,8,12.2222222222222
"31013550010210",29,2,4.03448275862069,3,9,10.3333333333333
"31013550010205",117,1,3.74358974358974,10,3,10
"31013550010206",0,NA,NA,2,14,14.5
"31013550010213",111,1,3.7027027027027,7,7,11.4285714285714
"31013550010203",134,1,3.80597014925373,10,2,10.1
"31013550010204",12,3,4.5,3,11,12.3333333333333
"31013550010202",131,1,3.69465648854962,9,5,9
"31013550010207",145,1,3.79310344827586,9,2,9.77777777777778
"31013550010208",2,4,4,2,13,13
"31013550010301",116,2,3.70689655172414,15,10,12.9333333333333
"31013550010401",149,1,3.55704697986577,16,11,13.125
"31013550020004",48,2,3.60416666666667,11,10,12.0909090909091
"31013560020202",163,1,3.15950920245399,43,6,11.0697674418605
"31013550020003",80,2,3.9,12,8,11.0833333333333
"31013550020006",136,1,3.61029411764706,35,4,10.8
"31013550020008",188,1,3.5,18,9,11.9444444444444
"31013560021001",154,1,3.64285714285714,23,5,12.2173913043478
"31013550020005",173,0,3.60115606936416,60,3,11.2166666666667
"31013550020007",137,2,3.58394160583942,21,8,11.1904761904762
"31013560020402",110,1,3.79090909090909,38,8,12.0789473684211
"31013560030405",55,2,4.01818181818182,9,5,10.8888888888889
"31013550020002",127,0,3.56692913385827,27,1,8.96296296296296
"31013550020001",117,0,3.69230769230769,27,1,8.85185185185185
"31013550020101",126,1,3.64285714285714,22,7,11.2272727272727
"31013550020201",138,0,3.55072463768116,40,2,10.175
"31013560030409",172,1,3.67441860465116,26,8,11.7307692307692
"31013550020301",122,1,3.67213114754098,15,8,11.4
"31013550020302",106,2,3.74528301886792,21,8,10.5714285714286
"31013550020401",53,2,3.83018867924528,13,7,10.5384615384615
"31013560020401",113,1,3.73451327433628,38,7,11.3157894736842
"31013550020403",140,1,3.38571428571429,29,6,9.75862068965517
"31013550020404",77,1,3.87012987012987,15,7,10.5333333333333
"31013550020402",67,2,3.85074626865672,15,9,11.5333333333333
"31013550020501",140,2,3.68571428571429,36,9,12.0277777777778
"31013560010002",127,1,3.66141732283465,13,3,11.8461538461538
"31013560010101",94,2,3.98936170212766,23,6,12.6521739130435
"31013560010102",21,4,4.76190476190476,14,11,13.2857142857143
"31013560010105",57,3,3.84210526315789,23,8,11.1304347826087
"31013560010202",180,0,3.36111111111111,31,1,12.0645161290323
"31013560010203",149,0,3.56375838926175,32,2,11.625
"31013560020503",116,1,3.50862068965517,40,4,11.475
"31013560020502",59,2,3.79661016949153,38,6,12.0789473684211
"31013560020501",95,1,3.62105263157895,31,6,12.4516129032258
"31013560020005",83,2,3.91566265060241,20,6,11.45
"31013560020003",130,0,3.75384615384615,21,1,12.1428571428571
"31013560020004",106,2,3.69811320754717,36,7,11.4166666666667
"31013560020002",155,1,3.32903225806452,25,6,10.48
"31013560020001",114,0,3.69298245614035,9,4,11.1111111111111
"31013560020101",107,2,3.71028037383178,12,10,12.0833333333333
"31013560020201",40,3,4.15,12,8,11.6666666666667
"31013560020203",157,1,3.15923566878981,48,4,10.5416666666667
"31013670010312",85,2,3.55294117647059,45,7,12.6888888888889
"31013560020604",110,2,3.76363636363636,6,9,11.8333333333333
"31013560020602",123,1,3.65040650406504,8,8,11.625
"31013560020601",143,1,3.59440559440559,6,10,12.8333333333333
"31013560020701",114,2,3.65789473684211,11,11,13.1818181818182
"31013560020801",136,1,3.625,27,5,11.037037037037
"31013560020901",126,2,3.61111111111111,34,6,10.8823529411765
"31013560020902",106,2,3.69811320754717,33,5,10.030303030303
"31013560030005",168,1,3.42261904761905,14,5,11
"31013560030001",185,0,3.34594594594595,27,0,10.037037037037
"31013560030019",187,0,3.4331550802139,12,0,9.08333333333333
"31013560030009",190,1,3.41578947368421,18,3,9.55555555555556
"31013560030013",220,0,3.05,32,3,10.5625
"31013560030020",166,1,3.45180722891566,12,5,10.6666666666667
"31013560030004",149,1,3.51006711409396,20,5,11.1
"31013560030018",155,0,3.41290322580645,13,3,9.30769230769231
"31013560030012",204,0,3.22058823529412,18,5,11.2222222222222
"31013560030008",70,2,3.94285714285714,8,8,12.25
"31013560030011",149,0,3.40939597315436,17,4,11.6470588235294
"31013560030023",173,0,3.4971098265896,19,3,10.4736842105263
"31013670010311",135,1,3.22222222222222,67,5,11.7014925373134
"31013560030007",170,0,3.34705882352941,14,2,9.78571428571429
"31013560030003",172,1,3.40116279069767,16,4,10.625
"31013560030010",198,0,3.11111111111111,45,5,11.8888888888889
"31013560030017",206,0,3.48058252427184,26,2,10.0384615384615
"31013560030022",186,0,3.43010752688172,19,2,10.6315789473684
"31013560030002",173,0,3.49132947976879,17,4,11.4117647058824
